iter	RMSE
0	1.812105308
1	1.757542318
2	1.707051407
3	1.658460237
4	1.613932764
5	1.571599964
6	1.532236864
7	1.494631443
8	1.46067875
9	1.427531117
10	1.397653461
11	1.368558067
12	1.342479303
13	1.315813027
14	1.292978353
15	1.271496793
16	1.251794688
17	1.232832874
18	1.216148401
19	1.19958109
20	1.184072253
21	1.169022565
22	1.156024923
23	1.143854415
24	1.131645333
25	1.120836129
26	1.110535727
27	1.101371406
28	1.093239746
29	1.084785438
30	1.07728916
31	1.070326089
32	1.0638345
33	1.058044988
34	1.052666098
35	1.047585558
36	1.042922975
37	1.038288614
38	1.033375961
39	1.029124183
40	1.024901364
41	1.021138828
42	1.017412625
43	1.014552688
44	1.011285019
45	1.007959096
46	1.005079744
47	1.002426598
48	0.9998430435
49	0.9975960744
50	0.9953334667
51	0.9927417627
52	0.9908494528
53	0.9885718073
54	0.9866837382
55	0.9851363666
56	0.9834132745
57	0.9817386471
58	0.9805209362
59	0.9787740485
60	0.9774781229
61	0.9761189194
62	0.9749390972
63	0.9736554284
64	0.9728485546
65	0.9717968414
66	0.9711046711
67	0.9704491588
68	0.9693446252
69	0.9687184848
70	0.9682723192
71	0.9673529474
72	0.9660657774
73	0.9646406092
74	0.9637865594
75	0.9628240542
76	0.9621682943
77	0.9616449511
78	0.960548931
79	0.9595379979
80	0.9589615128
81	0.9583706889
82	0.9577983208
83	0.9568106888
84	0.9562520697
85	0.9554664585
86	0.9548237427
87	0.9543979446
88	0.9539084705
89	0.9533435234
90	0.9529721448
91	0.9524903904
92	0.9519192357
93	0.95150043
94	0.9506261695
95	0.9502381761
96	0.9498536878
97	0.9492239134
98	0.9484516694
99	0.9482169239
100	0.9480315087
101	0.9475820654
102	0.947268349
103	0.9467928347
104	0.9461747456
105	0.9457237182
106	0.9453893237
107	0.9449684508
108	0.9446114291
109	0.9443849569
110	0.9438607549
111	0.9434652997
112	0.9432366158
113	0.9429407116
114	0.9425471938
115	0.9422671642
116	0.942135103
117	0.9411383332
118	0.9409400651
119	0.9405300275
120	0.9403417252
121	0.9397308516
122	0.9394620488
123	0.9392348567
124	0.9390802504
125	0.9385501718
126	0.9381401228
127	0.9378531433
128	0.9378365979
129	0.9376395835
130	0.9373797202
131	0.9372102269
132	0.9370320841
133	0.9366175418
134	0.9361232522
135	0.9358706826
136	0.9354599783
137	0.9352527892
138	0.9350181565
139	0.9347816875
140	0.9345817876
141	0.934565038
142	0.9341673173
143	0.9339533145
144	0.9337427098
145	0.9336407419
146	0.9333224612
147	0.9330252708
148	0.9328408707
149	0.9327095826
150	0.9326130849
151	0.9325211335
152	0.9321741394
153	0.9317705175
154	0.931587616
155	0.9314704147
156	0.9314411046
157	0.9312210355
158	0.9310009568
159	0.9308721508
160	0.9306567327
161	0.9305624528
162	0.9303983884
163	0.9297836299
164	0.9295098609
165	0.929212538
166	0.9288399245
167	0.9287299033
168	0.92851577
169	0.9284173601
170	0.9281556214
171	0.928013584
172	0.9278685442
173	0.9278095081
174	0.9276615853
175	0.9275010335
176	0.927264997
177	0.9269843008
178	0.9268964037
179	0.9267600666
180	0.9264342282
181	0.9263411781
182	0.9262608755
183	0.9259670779
184	0.925909924
185	0.925691741
186	0.9255992035
187	0.9254864364
188	0.9254060643
189	0.9252449741
190	0.9251902697
191	0.9251105972
192	0.9249413485
193	0.9248560794
194	0.9245935702
195	0.9241711717
196	0.9239764242
197	0.9238854738
198	0.9237936116
199	0.9236849564
200	0.9235191564
201	0.9232264486
202	0.9231702698
203	0.9231490232
204	0.9229439173
205	0.922884787
206	0.9226764416
207	0.9224711698
208	0.9223650638
209	0.9220683321
210	0.9219018064
211	0.9218701707
212	0.9218232615
213	0.9217610436
214	0.9216040972
215	0.9215000712
216	0.9212698638
217	0.9211742752
218	0.9211177238
219	0.9210416194
220	0.9209928283
221	0.9208342286
222	0.9207537646
223	0.9203773177
224	0.9202326667
225	0.9200223269
226	0.9196805097
227	0.919276569
228	0.9191780412
229	0.9190757695
230	0.9190025371
231	0.9187072074
232	0.918591219
233	0.9184108222
234	0.9183275773
235	0.9179744412
236	0.917769495
237	0.917507886
238	0.9173726624
239	0.9171548552
240	0.9167094812
241	0.916493215
242	0.916309008
243	0.9161971445
244	0.916119467
245	0.9158302353
246	0.9156462092
247	0.9154273193
248	0.9153310385
249	0.9152655485
250	0.9151553978
251	0.914933741
252	0.9147540877
253	0.9147047774
254	0.914479846
255	0.9142106357
256	0.9139899693
257	0.9134936251
258	0.9133470109
259	0.9130809218
260	0.9130358366
261	0.9129266764
262	0.9127443648
263	0.9126862396
264	0.9124292053
265	0.9123178782
266	0.9122039131
267	0.9121134376
268	0.9119049155
269	0.9117549255
270	0.9117318041
271	0.9114991438
272	0.9114448626
273	0.9112493527
274	0.9110560344
275	0.9110074041
276	0.9109603554
277	0.910884344
278	0.9108383638
279	0.9107775109
280	0.910730145
281	0.910606667
282	0.9103438325
283	0.9102810809
284	0.9101211924
285	0.9098737673
286	0.9098722731
287	0.9097351078
288	0.9095535992
289	0.9095201303
290	0.9093555104
291	0.9092406016
292	0.9092350367
293	0.9090898884
294	0.9090342353
295	0.90899563
296	0.9089388933
297	0.9086516788
298	0.9085521357
299	0.9083584641
